"url_bulletins","data","code_region","name_region","code_province","name_province","abbreviation_province","lat","long","new_cases","total_cases","new_deaths","total_deaths","num_equids_outbreak"
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_10.pdf",2023-08-23,1,"Piemonte",5,"Asti","AT",44.89912921,8.204142547,1,1,"1",1,24
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_10.pdf",2023-08-23,1,"Piemonte",96,"Biella","BI",45.5665112,8.054082167,1,1,"0",0,1
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_11.pdf",2023-08-30,1,"Piemonte",5,"Asti","AT",44.89912921,8.204142547,0,1,"0",1,24
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_11.pdf",2023-08-30,1,"Piemonte",96,"Biella","BI",45.5665112,8.054082167,0,1,"0",0,1
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_12.pdf",2023-09-06,1,"Piemonte",5,"Asti","AT",44.89912921,8.204142547,1,2,"0",1,30
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_12.pdf",2023-09-06,1,"Piemonte",96,"Biella","BI",45.5665112,8.054082167,0,1,"0",0,24
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_12.pdf",2023-09-06,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,1,1,"0",0,24
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_13.pdf",2023-09-13,1,"Piemonte",5,"Asti","AT",44.89912921,8.204142547,0,2,"0",1,30
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_13.pdf",2023-09-13,1,"Piemonte",96,"Biella","BI",45.5665112,8.054082167,0,1,"0",0,24
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_13.pdf",2023-09-13,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,0,1,"0",0,24
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_13.pdf",2023-09-13,16,"Puglia",73,"Taranto","TA",40.47354739,17.23237181,1,1,"0",0,1
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_14.pdf",2023-09-27,1,"Piemonte",5,"Asti","AT",44.89912921,8.204142547,1,3,"0",1,64
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_14.pdf",2023-09-27,1,"Piemonte",1,"Torino","TO",45.0732745,7.680687483,1,1,"0",0,2
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_14.pdf",2023-09-27,1,"Piemonte",96,"Biella","BI",45.5665112,8.054082167,0,1,"0",0,24
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_14.pdf",2023-09-27,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,0,1,"0",0,24
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_14.pdf",2023-09-27,16,"Puglia",73,"Taranto","TA",40.47354739,17.23237181,0,1,"0",0,1
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_14.pdf",2023-09-27,17,"Basilicata",77,"Matera","MT",40.66751177,16.59792442,5,5,"0",0,25
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_14.pdf",2023-09-27,20,"Sardegna",95,"Oristano","OR",39.90381075,8.591183151,1,1,"1",1,1
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_14.pdf",2023-09-27,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,1,1,"0",0,16
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_14.pdf",2023-09-27,7,"Liguria",8,"Imperia","IM",43.88570648,8.02785029799999,1,1,"0",0,1
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_15.pdf",2023-10-04,1,"Piemonte",5,"Asti","AT",44.89912921,8.204142547,0,3,"0",1,64
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_15.pdf",2023-10-04,1,"Piemonte",1,"Torino","TO",45.0732745,7.680687483,0,1,"0",0,2
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_15.pdf",2023-10-04,1,"Piemonte",96,"Biella","BI",45.5665112,8.054082167,0,1,"0",0,24
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_15.pdf",2023-10-04,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,0,1,"0",0,24
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_15.pdf",2023-10-04,16,"Puglia",73,"Taranto","TA",40.47354739,17.23237181,0,1,"0",0,1
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_15.pdf",2023-10-04,17,"Basilicata",77,"Matera","MT",40.66751177,16.59792442,0,5,"0",0,25
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_15.pdf",2023-10-04,20,"Sardegna",95,"Oristano","OR",39.90381075,8.591183151,0,1,"0",1,1
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_15.pdf",2023-10-04,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,0,1,"0",0,16
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_15.pdf",2023-10-04,7,"Liguria",8,"Imperia","IM",43.88570648,8.02785029799999,0,1,"0",0,1
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_16.pdf",2023-10-18,17,"Basilicata",77,"Matera","MT",40.66751177,16.59792442,0,5,"0",0,14
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_16.pdf",2023-10-18,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,0,1,"0",0,24
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_16.pdf",2023-10-18,8,"Emilia-Romagna",40,"Forlì-Cesena","FC",44.22268559,12.04068608,1,1,"0",0,4
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_16.pdf",2023-10-18,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,1,1,"0",0,181
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_16.pdf",2023-10-18,7,"Liguria",8,"Imperia","IM",43.88570648,8.02785029799999,0,1,"0",0,1
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_16.pdf",2023-10-18,1,"Piemonte",5,"Asti","AT",44.89912921,8.204142547,0,3,"0",1,64
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_16.pdf",2023-10-18,1,"Piemonte",96,"Biella","BI",45.5665112,8.054082167,0,1,"1",1,13
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_16.pdf",2023-10-18,1,"Piemonte",4,"Cuneo","CN",44.39329625,7.551171632,2,2,"0",0,60
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_16.pdf",2023-10-18,1,"Piemonte",3,"Novara","NO",45.44588506,8.621915884,1,1,"1",1,77
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_16.pdf",2023-10-18,1,"Piemonte",1,"Torino","TO",45.0732745,7.680687483,1,2,"0",0,3
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_16.pdf",2023-10-18,16,"Puglia",73,"Taranto","TA",40.47354739,17.23237181,1,2,"0",0,39
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_16.pdf",2023-10-18,20,"Sardegna",95,"Oristano","OR",39.90381075,8.591183151,0,1,"NA",0,1
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_16.pdf",2023-10-18,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,0,1,"0",0,16
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_17.pdf",2023-10-25,1,"Piemonte",5,"Asti","AT",44.89912921,8.204142547,0,3,"0",1,64
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_17.pdf",2023-10-25,1,"Piemonte",6,"Alessandria","AL",44.91297351,8.615401155,1,1,"0",0,1
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_17.pdf",2023-10-25,1,"Piemonte",4,"Cuneo","CN",44.39329625,7.551171632,0,2,"0",0,60
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_17.pdf",2023-10-25,1,"Piemonte",3,"Novara","NO",45.44588506,8.621915884,0,1,"1",1,77
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_17.pdf",2023-10-25,1,"Piemonte",1,"Torino","TO",45.0732745,7.680687483,0,2,"0",0,3
