"url_bulletins","data","host","new_cases","total_cases"
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_01.pdf",2023-05-24,"humans","0",0
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_01.pdf",2023-05-24,"equids","0",0
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_01.pdf",2023-05-24,"target birds","1",1
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_01.pdf",2023-05-24,"wild birds","0",0
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_01.pdf",2023-05-24,"mosquitoes","2",2
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_02.pdf",2023-06-21,"humans","0",0
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_02.pdf",2023-06-21,"equids","0",0
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_02.pdf",2023-06-21,"target birds","1",2
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_02.pdf",2023-06-21,"wild birds","0",0
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_02.pdf",2023-06-21,"mosquitoes","NA",1
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_03.pdf",2023-07-05,"humans","0",0
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_03.pdf",2023-07-05,"equids","0",0
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_03.pdf",2023-07-05,"target birds","3",5
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_03.pdf",2023-07-05,"wild birds","0",0
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_03.pdf",2023-07-05,"mosquitoes","2",3
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_04.pdf",2023-07-12,"humans","1",1
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_04.pdf",2023-07-12,"equids","0",0
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_04.pdf",2023-07-12,"target birds","5",10
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_04.pdf",2023-07-12,"wild birds","1",1
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_04.pdf",2023-07-12,"mosquitoes","1",4
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_05.pdf",2023-07-19,"humans","0",1
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_05.pdf",2023-07-19,"equids","0",0
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_05.pdf",2023-07-19,"target birds","2",12
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_05.pdf",2023-07-19,"wild birds","0",1
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_05.pdf",2023-07-19,"mosquitoes","4",8
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_06.pdf",2023-07-26,"humans","5",6
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_06.pdf",2023-07-26,"equids","0",0
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_06.pdf",2023-07-26,"target birds","7",19
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_06.pdf",2023-07-26,"wild birds","0",1
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_06.pdf",2023-07-26,"mosquitoes","10",18
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_07.pdf",2023-08-02,"humans","19",25
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_07.pdf",2023-08-02,"equids","0",0
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_07.pdf",2023-08-02,"target birds","3",22
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_07.pdf",2023-08-02,"wild birds","2",3
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_07.pdf",2023-08-02,"mosquitoes","14",32
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_08.pdf",2023-08-09,"humans","30",55
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_08.pdf",2023-08-09,"equids","0",0
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_08.pdf",2023-08-09,"target birds","7",28
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_08.pdf",2023-08-09,"wild birds","0",3
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_08.pdf",2023-08-09,"mosquitoes","19",51
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_09.pdf",2023-08-16,"humans","39",94
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_09.pdf",2023-08-16,"equids","0",0
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_09.pdf",2023-08-16,"target birds","10",38
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_09.pdf",2023-08-16,"wild birds","4",7
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_09.pdf",2023-08-16,"mosquitoes","26",77
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_10.pdf",2023-08-23,"humans","39",133
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_10.pdf",2023-08-23,"equids","2",2
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_10.pdf",2023-08-23,"target birds","8",46
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_10.pdf",2023-08-23,"wild birds","6",13
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_10.pdf",2023-08-23,"mosquitoes","1",78
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_11.pdf",2023-08-30,"humans","38",171
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_11.pdf",2023-08-30,"equids","0",2
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_11.pdf",2023-08-30,"target birds","15",61
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_11.pdf",2023-08-30,"wild birds","15",28
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_11.pdf",2023-08-30,"mosquitoes","12",90
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_12.pdf",2023-09-06,"humans","34",205
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_12.pdf",2023-09-06,"equids","1",3
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_12.pdf",2023-09-06,"target birds","9",70
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_12.pdf",2023-09-06,"wild birds","12",40
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_12.pdf",2023-09-06,"mosquitoes","1",91
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_13.pdf",2023-09-13,"humans","32",237
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_13.pdf",2023-09-13,"equids","2",5
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_13.pdf",2023-09-13,"target birds","2",72
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_13.pdf",2023-09-13,"wild birds","12",52
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_13.pdf",2023-09-13,"mosquitoes","7",98
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_14.pdf",2023-09-27,"humans","46",283
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_14.pdf",2023-09-27,"equids","10",15
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_14.pdf",2023-09-27,"target birds","14",86
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_14.pdf",2023-09-27,"wild birds","20",72
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_14.pdf",2023-09-27,"mosquitoes","1",99
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_15.pdf",2023-10-04,"humans","15",298
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_15.pdf",2023-10-04,"equids","0",15
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_15.pdf",2023-10-04,"target birds","3",89
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_15.pdf",2023-10-04,"wild birds","4",76
"https://github.com/fbranda/west-nile/blob/main/2023/bulletins/WN_News_2023_15.pdf",2023-10-04,"mosquitoes","1",100
