"url_bollettino","data","codice_regione","denominazione_regione","lat","long","nuovi_casi","casi_totali","tipo_infezione"
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_04.pdf",2022-07-12,"5","Veneto","45.434904850000002","12.33845213",1,1,"neuroinvasiva"
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_05.pdf",2022-07-19,"8","Emilia-Romagna","44.494366810000002","11.341720799999999",4,4,"neuroinvasiva"
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_05.pdf",2022-07-19,"3","Lombardia","45.46679409","9.1903474040000006",2,2,"donatore_sangue"
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_05.pdf",2022-07-19,"1","Piemonte","45.073274499999997","7.6806874829999998",2,2,"neuroinvasiva"
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_05.pdf",2022-07-19,"5","Veneto","45.434904850000002","12.33845213",2,3,"neuroinvasiva"
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_05.pdf",2022-07-19,"5","Veneto","45.434904850000002","12.33845213",3,3,"donatore_sangue"
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_05.pdf",2022-07-19,"5","Veneto","45.434904850000002","12.33845213",1,1,"sintomatico"
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_06.pdf",2022-07-26,"8","Emilia-Romagna","44.494366810000002","11.341720799999999",3,7,"neuroinvasiva"
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_06.pdf",2022-07-26,"8","Emilia-Romagna","44.494366810000002","11.341720799999999",3,3,"donatore_sangue"
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_06.pdf",2022-07-26,"8","Emilia-Romagna","44.494366810000002","11.341720799999999",1,1,"febbre"
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_06.pdf",2022-07-26,"3","Lombardia","45.46679409","9.1903474040000006",1,3,"donatore_sangue"
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_06.pdf",2022-07-26,"3","Lombardia","45.46679409","9.1903474040000006",1,1,"febbre"
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_06.pdf",2022-07-26,"1","Piemonte","45.073274499999997","7.6806874829999998",0,2,"neuroinvasiva"
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_06.pdf",2022-07-26,"5","Veneto","45.434904850000002","12.33845213",9,12,"neuroinvasiva"
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_06.pdf",2022-07-26,"5","Veneto","45.434904850000002","12.33845213",3,6,"donatore_sangue"
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_06.pdf",2022-07-26,"5","Veneto","45.434904850000002","12.33845213",7,7,"febbre"
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_07.pdf",2022-08-02,"8","Emilia-Romagna","44.494366810000002","11.341720799999999",9,16,"neuroinvasiva"
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_07.pdf",2022-08-02,"8","Emilia-Romagna","44.494366810000002","11.341720799999999",1,4,"donatore_sangue"
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_07.pdf",2022-08-02,"8","Emilia-Romagna","44.494366810000002","11.341720799999999",0,1,"febbre"
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_07.pdf",2022-08-02,"3","Lombardia","45.46679409","9.1903474040000006",2,2,"neuroinvasiva"
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_07.pdf",2022-08-02,"3","Lombardia","45.46679409","9.1903474040000006",0,3,"donatore_sangue"
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_07.pdf",2022-08-02,"3","Lombardia","45.46679409","9.1903474040000006",1,2,"febbre"
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_07.pdf",2022-08-02,"1","Piemonte","45.073274499999997","7.6806874829999998",2,4,"neuroinvasiva"
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_07.pdf",2022-08-02,"1","Piemonte","45.073274499999997","7.6806874829999998",1,1,"donatore_sangue"
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_07.pdf",2022-08-02,"5","Veneto","45.434904850000002","12.33845213",21,33,"neuroinvasiva"
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_07.pdf",2022-08-02,"5","Veneto","45.434904850000002","12.33845213",5,11,"donatore_sangue"
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_07.pdf",2022-08-02,"5","Veneto","45.434904850000002","12.33845213",9,16,"febbre"
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_07.pdf",2022-08-02,"5","Veneto","45.434904850000002","12.33845213",0,1,"sintomatico"
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_08.pdf",2022-08-09,"8","Emilia-Romagna","44.494366810000002","11.341720799999999",6,22,"neuroinvasiva"
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_08.pdf",2022-08-09,"8","Emilia-Romagna","44.494366810000002","11.341720799999999",2,6,"donatore_sangue"
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_08.pdf",2022-08-09,"8","Emilia-Romagna","44.494366810000002","11.341720799999999",1,2,"febbre"
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_08.pdf",2022-08-09,"6","Friuli Venezia Giulia","45.649435400000002","13.76813649",2,2,"neuroinvasiva"
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_08.pdf",2022-08-09,"3","Lombardia","45.46679409","9.1903474040000006",3,5,"neuroinvasiva"
